"Willson"	"Condensed Reports of Decisions in Civil Causes in the Court of Appeals"	865	https://api.case.law/v1/cases/?reporter=1073	https://api.case.law/v1/reporters/1073
"White & W."	"Condensed Reports of Decisions in Civil Causes in the Court of Appeals (White & Wilson)"	653	https://api.case.law/v1/cases/?reporter=591	https://api.case.law/v1/reporters/591
"N.C. (Cam. & Nor.)"	"Conference by Cameron & Norwood"	120	https://api.case.law/v1/cases/?reporter=562	https://api.case.law/v1/reporters/562
"King's Conflicting Cases"	"Conflicting Civil Cases in the Texas Reports"	0	https://api.case.law/v1/cases/?reporter=594	https://api.case.law/v1/reporters/594
"Conn. App."	"Connecticut Appellate Reports"	14531	https://api.case.law/v1/cases/?reporter=515	https://api.case.law/v1/reporters/515
"Conn. Cir. Ct."	"Connecticut Circuit Court Reports"	805	https://api.case.law/v1/cases/?reporter=636	https://api.case.law/v1/reporters/636
"Kirby"	"Connecticut Reports"	259	https://api.case.law/v1/cases/?reporter=635	https://api.case.law/v1/reporters/635
"Root"	"Connecticut Reports"	601	https://api.case.law/v1/cases/?reporter=633	https://api.case.law/v1/reporters/633
"Conn."	"Connecticut Reports"	32233	https://api.case.law/v1/cases/?reporter=178	https://api.case.law/v1/reporters/178
"Conn. Supp."	"Connecticut Supplement"	5727	https://api.case.law/v1/cases/?reporter=348	https://api.case.law/v1/reporters/348
"Connoly Sur. Rep."	"Connoly's Surrogate's Reports"	182	https://api.case.law/v1/cases/?reporter=148	https://api.case.law/v1/reporters/148
"Ct. Cl."	"Court of Claims Reports"	18452	https://api.case.law/v1/cases/?reporter=415	https://api.case.law/v1/reporters/415
"C.C.P.A."	"Court of Customs and Patent Appeals Reports"	7828	https://api.case.law/v1/cases/?reporter=978	https://api.case.law/v1/reporters/978
"Ct. Cust."	"Court of Customs Appeals reports"	2210	https://api.case.law/v1/cases/?reporter=930	https://api.case.law/v1/reporters/930
"Cow."	"Cowen's Reports"	1376	https://api.case.law/v1/cases/?reporter=121	https://api.case.law/v1/reporters/121
"Craw. Co. Leg. J."	"Crawford County Legal Journal"	0	https://api.case.law/v1/cases/?reporter=806	https://api.case.law/v1/reporters/806
"Cumberland L.J."	"Cumberland Law Journal"	0	https://api.case.law/v1/cases/?reporter=807	https://api.case.law/v1/reporters/807
"Cust. B. & Dec."	"Customs Bulletin and Decisions"	0	https://api.case.law/v1/cases/?reporter=979	https://api.case.law/v1/reporters/979
"Dakota"	"Dakota Reports"	310	https://api.case.law/v1/cases/?reporter=668	https://api.case.law/v1/reporters/668
"Dallam"	"Dallam's Opinions"	0	https://api.case.law/v1/cases/?reporter=585	https://api.case.law/v1/reporters/585
"Dall."	"Dallas"	246	https://api.case.law/v1/cases/?reporter=187	https://api.case.law/v1/reporters/187
"Daly (N.Y.)"	"Daly's Common Pleas Reports"	1929	https://api.case.law/v1/cases/?reporter=166	https://api.case.law/v1/reporters/166
"Dau. Co. Rep."	"Dauphin County Reports"	89	https://api.case.law/v1/cases/?reporter=862	https://api.case.law/v1/reporters/862
"Day"	"Day's Reports"	361	https://api.case.law/v1/cases/?reporter=177	https://api.case.law/v1/reporters/177
"T.C.A."	"Decisiones del Tribunal de Circuito de Apelaciones de Puerto Rico"	2680	https://api.case.law/v1/cases/?reporter=785	https://api.case.law/v1/reporters/785
"P.R. Dec."	"Decisiones de Puerto Rico"	25152	https://api.case.law/v1/cases/?reporter=975	https://api.case.law/v1/reporters/975
"Teiss."	"Decisions, Court of Appeal, parish of Orleans (Teissier)"	1775	https://api.case.law/v1/cases/?reporter=724	https://api.case.law/v1/reporters/724
"Va. Ch. Dec."	"Decisions of the Cases in Virginia, by the High Court of Chancery (Wythe)"	146	https://api.case.law/v1/cases/?reporter=946	https://api.case.law/v1/reporters/946
"Ky. (Sneed)"	"Decisions of the Court of Appeals of the state of Kentucky, from March 1st, 1801, to January 18,1805, inclusive"	269	https://api.case.law/v1/cases/?reporter=711	https://api.case.law/v1/reporters/711
